Start,Finish,Heart Rate (count/min)
15-Oct-2017 01:18,15-Oct-2017 01:18,77.0
15-Oct-2017 01:23,15-Oct-2017 01:23,81.0
15-Oct-2017 01:30,15-Oct-2017 01:30,71.0
15-Oct-2017 01:33,15-Oct-2017 01:33,77.0
15-Oct-2017 01:39,15-Oct-2017 01:39,81.0
15-Oct-2017 01:48,15-Oct-2017 01:48,74.0
15-Oct-2017 01:54,15-Oct-2017 01:54,89.0
15-Oct-2017 01:57,15-Oct-2017 01:57,75.0
15-Oct-2017 02:06,15-Oct-2017 02:06,60.0
15-Oct-2017 02:09,15-Oct-2017 02:09,58.0
15-Oct-2017 02:15,15-Oct-2017 02:15,58.0
15-Oct-2017 02:22,15-Oct-2017 02:22,72.0
04-Nov-2017 21:04,04-Nov-2017 21:04,89.0
04-Nov-2017 21:12,04-Nov-2017 21:12,98.0
04-Nov-2017 21:19,04-Nov-2017 21:19,88.0
04-Nov-2017 21:31,04-Nov-2017 21:31,100.0
04-Nov-2017 21:35,04-Nov-2017 21:35,103.0
04-Nov-2017 21:44,04-Nov-2017 21:44,89.0
04-Nov-2017 21:47,04-Nov-2017 21:47,88.0
04-Nov-2017 21:49,04-Nov-2017 21:49,106.0
04-Nov-2017 21:56,04-Nov-2017 21:56,91.0
04-Nov-2017 22:00,04-Nov-2017 22:00,102.0
04-Nov-2017 22:09,04-Nov-2017 22:09,101.0
04-Nov-2017 22:13,04-Nov-2017 22:13,78.0
04-Nov-2017 22:16,04-Nov-2017 22:16,90.0
04-Nov-2017 22:18,04-Nov-2017 22:18,70.0
04-Nov-2017 22:27,04-Nov-2017 22:27,106.0
04-Nov-2017 22:30,04-Nov-2017 22:30,90.0
04-Nov-2017 22:35,04-Nov-2017 22:35,83.0
04-Nov-2017 22:39,04-Nov-2017 22:39,89.0
04-Nov-2017 22:45,04-Nov-2017 22:45,93.0
04-Nov-2017 22:52,04-Nov-2017 22:52,58.0
04-Nov-2017 22:57,04-Nov-2017 22:57,98.0
04-Nov-2017 23:00,04-Nov-2017 23:00,105.0
04-Nov-2017 23:05,04-Nov-2017 23:05,88.0
04-Nov-2017 23:10,04-Nov-2017 23:10,103.0
04-Nov-2017 23:37,04-Nov-2017 23:37,101.0
04-Nov-2017 23:57,04-Nov-2017 23:57,101.0
05-Nov-2017 00:01,05-Nov-2017 00:01,99.0
05-Nov-2017 00:05,05-Nov-2017 00:05,88.0
05-Nov-2017 00:17,05-Nov-2017 00:17,98.0
05-Nov-2017 00:19,05-Nov-2017 00:19,69.0
05-Nov-2017 00:23,05-Nov-2017 00:23,103.0
05-Nov-2017 00:31,05-Nov-2017 00:31,102.0
05-Nov-2017 00:32,05-Nov-2017 00:32,90.0
05-Nov-2017 00:34,05-Nov-2017 00:34,67.0
05-Nov-2017 00:41,05-Nov-2017 00:41,89.0
05-Nov-2017 00:48,05-Nov-2017 00:48,104.0
05-Nov-2017 00:51,05-Nov-2017 00:51,66.0
05-Nov-2017 00:53,05-Nov-2017 00:53,73.0
05-Nov-2017 01:04,05-Nov-2017 01:04,105.0
05-Nov-2017 01:07,05-Nov-2017 01:07,93.0
05-Nov-2017 01:21,05-Nov-2017 01:21,80.0
